id,fecha,hora,velocidad_kmh,rafaga_kmh,direccion,direccion_rafaga
12730,2026-09-05,17:15:00,9.7,24.1,WNW,NW
12731,2026-09-05,17:30:00,8.0,24.1,NNW,NW
12732,2026-09-05,17:45:00,3.2,19.3,NNW,NNW
12733,2026-09-05,18:00:00,1.6,14.5,NNW,NNW
12734,2026-09-05,18:15:00,0.0,4.8,NW,NNW
12735,2026-09-05,18:30:00,1.6,11.3,NW,NNW
12736,2026-09-05,18:45:00,0.0,9.7,SSE,ENE
12737,2026-09-05,19:00:00,0.0,6.4,N,E
12738,2026-09-05,19:15:00,0.0,1.6,N,N
12739,2026-09-05,19:30:00,0.0,0.0,,
12740,2026-09-05,19:45:00,0.0,0.0,,
12741,2026-09-05,20:00:00,0.0,1.6,NE,NE
12742,2026-09-05,20:15:00,0.0,3.2,ENE,E
12743,2026-09-05,20:30:00,0.0,0.0,,
12744,2026-09-05,20:45:00,0.0,0.0,,
12745,2026-09-05,21:00:00,0.0,1.6,NNE,NNE
12746,2026-09-05,21:15:00,0.0,1.6,NW,NW
12747,2026-09-05,21:30:00,0.0,0.0,,
12748,2026-09-05,21:45:00,0.0,0.0,,
12749,2026-09-05,22:00:00,0.0,0.0,,
12750,2026-09-05,22:15:00,0.0,0.0,,
12751,2026-09-05,22:30:00,0.0,0.0,,
12752,2026-09-05,22:45:00,0.0,0.0,,
12753,2026-09-05,23:00:00,0.0,0.0,,
12754,2026-09-05,23:15:00,0.0,0.0,,
12755,2026-09-05,23:30:00,0.0,0.0,,
12756,2026-09-05,23:45:00,0.0,0.0,,
12757,2026-09-06,00:15:00,0.0,0.0,,
12758,2026-09-06,00:30:00,0.0,0.0,,
12759,2026-09-06,00:45:00,0.0,0.0,,
12760,2026-09-06,01:00:00,0.0,0.0,,
12761,2026-09-06,01:15:00,0.0,0.0,,
12762,2026-09-06,01:30:00,0.0,0.0,,
12763,2026-09-06,01:45:00,0.0,0.0,,
12764,2026-09-06,02:00:00,0.0,0.0,,
12765,2026-09-06,02:15:00,0.0,0.0,,
12766,2026-09-06,02:30:00,0.0,0.0,,
12767,2026-09-06,02:45:00,0.0,0.0,,
12768,2026-09-06,03:00:00,0.0,0.0,,
12769,2026-09-06,03:15:00,0.0,0.0,,
12770,2026-09-06,03:30:00,0.0,0.0,,
12771,2026-09-06,03:45:00,0.0,0.0,,
12772,2026-09-06,04:00:00,0.0,0.0,,
12773,2026-09-06,04:15:00,0.0,0.0,,
12774,2026-09-06,04:30:00,0.0,0.0,,
12775,2026-09-06,04:45:00,0.0,0.0,,
12776,2026-09-06,05:00:00,0.0,0.0,,
12777,2026-09-06,05:15:00,0.0,0.0,,
12778,2026-09-06,05:30:00,0.0,0.0,,
12779,2026-09-06,05:45:00,0.0,1.6,NNW,NNW
12780,2026-09-06,06:00:00,0.0,0.0,,
12781,2026-09-06,06:15:00,0.0,0.0,,
12782,2026-09-06,06:30:00,0.0,0.0,,
12783,2026-09-06,06:45:00,0.0,0.0,,
12784,2026-09-06,07:00:00,0.0,0.0,,
12785,2026-09-06,07:15:00,0.0,0.0,,
12786,2026-09-06,07:30:00,0.0,0.0,,
12787,2026-09-06,07:45:00,0.0,1.6,NNW,NNW
12788,2026-09-06,08:00:00,0.0,0.0,,
12789,2026-09-06,08:15:00,0.0,1.6,SW,SW
12790,2026-09-06,08:30:00,0.0,0.0,,
12791,2026-09-06,08:45:00,0.0,0.0,,
12792,2026-09-06,09:00:00,0.0,1.6,WSW,SW
12793,2026-09-06,09:15:00,0.0,1.6,SW,SW
12794,2026-09-06,09:30:00,0.0,1.6,ENE,ENE
12795,2026-09-06,09:45:00,0.0,1.6,ENE,ENE
12796,2026-09-06,10:00:00,0.0,3.2,WNW,W
12797,2026-09-06,10:15:00,0.0,3.2,ENE,ENE
12798,2026-09-06,10:30:00,0.0,3.2,NW,W
12799,2026-09-06,10:45:00,0.0,1.6,NNW,NNW
12800,2026-09-06,11:00:00,0.0,3.2,NNW,NNW
12801,2026-09-06,11:15:00,0.0,1.6,E,E
12802,2026-09-06,11:30:00,0.0,4.8,NW,NW
12803,2026-09-06,11:45:00,1.6,8.0,WNW,NNW
12804,2026-09-06,12:00:00,1.6,4.8,ENE,NNW
12805,2026-09-06,12:15:00,0.0,8.0,WNW,NNW
12806,2026-09-06,12:30:00,1.6,11.3,SE,E
12807,2026-09-06,12:45:00,1.6,8.0,E,ESE
12808,2026-09-06,13:00:00,0.0,3.2,W,E
12809,2026-09-06,13:15:00,1.6,6.4,NNW,E
12810,2026-09-06,13:30:00,1.6,8.0,WNW,NNW
12811,2026-09-06,13:45:00,0.0,4.8,NW,NW
12812,2026-09-06,14:00:00,1.6,6.4,SSW,NW
12813,2026-09-06,14:15:00,0.0,6.4,ENE,E
12814,2026-09-06,14:30:00,0.0,4.8,WSW,WNW
12815,2026-09-06,14:45:00,1.6,11.3,W,WSW
12816,2026-09-06,15:00:00,1.6,8.0,WSW,WSW
12817,2026-09-06,15:15:00,1.6,9.7,S,W
12818,2026-09-06,15:30:00,3.2,9.7,WSW,WSW
12819,2026-09-06,15:45:00,3.2,9.7,S,SW
12820,2026-09-06,16:00:00,3.2,11.3,S,WSW
12821,2026-09-06,16:15:00,3.2,11.3,ENE,WSW
12822,2026-09-06,16:30:00,1.6,8.0,NE,WSW
12823,2026-09-06,16:45:00,1.6,8.0,SW,WSW
12824,2026-09-06,17:00:00,1.6,8.0,ENE,NNW
12825,2026-09-06,17:15:00,0.0,6.4,NNW,E
12826,2026-09-06,17:30:00,1.6,6.4,ESE,E
12827,2026-09-06,17:45:00,0.0,4.8,E,E
12828,2026-09-06,18:00:00,0.0,4.8,NE,E
12829,2026-09-06,18:15:00,0.0,3.2,E,E
12830,2026-09-06,18:30:00,0.0,0.0,,
12831,2026-09-06,18:45:00,0.0,0.0,,
12832,2026-09-06,19:00:00,0.0,0.0,,
12833,2026-09-06,19:15:00,0.0,0.0,,
12834,2026-09-06,19:30:00,0.0,3.2,WNW,WNW
12835,2026-09-06,19:45:00,0.0,3.2,E,E
12836,2026-09-06,20:00:00,0.0,0.0,,
12837,2026-09-06,20:15:00,0.0,4.8,SW,E
12838,2026-09-06,20:30:00,0.0,6.4,WNW,NNW
12839,2026-09-06,20:45:00,1.6,12.9,NNW,NW
12840,2026-09-06,21:00:00,0.0,0.0,,
12841,2026-09-06,21:15:00,0.0,0.0,,
12842,2026-09-06,21:30:00,0.0,0.0,,
12843,2026-09-06,21:45:00,0.0,0.0,,
12844,2026-09-06,22:00:00,0.0,0.0,,
12845,2026-09-06,22:15:00,0.0,0.0,,
12846,2026-09-06,22:30:00,0.0,0.0,,
12847,2026-09-06,22:45:00,0.0,0.0,,
12848,2026-09-06,23:00:00,0.0,0.0,,
12849,2026-09-06,23:15:00,0.0,0.0,,
12850,2026-09-06,23:30:00,0.0,1.6,NNW,ENE
12851,2026-09-06,23:45:00,0.0,1.6,ENE,ENE
12852,2026-09-08,00:15:00,0.0,0.0,,
12853,2026-09-08,00:30:00,0.0,0.0,,
12854,2026-09-08,00:45:00,0.0,0.0,,
